PRODUCT NAME,PRICE
"Samsung M01 core (Black, 32 GB)","8,399"
"Samsung Galaxy A71 (Haze Crush Silver, 128 GB)","30,999"
"Samsung Galaxy M30S (Blue, 128 GB)","17,990"
"Samsung Galaxy M21 (Midnight Blue, 128 GB)","17,899"
"Samsung Galaxy M21 (Raven Black, 128 GB)","17,899"
"Samsung Galaxy A21s (Black, 64 GB)","17,499"
"Samsung Galaxy A21s (White, 64 GB)","17,499"
"Samsung Galaxy A21s (White, 64 GB)","15,999"
"Samsung Galaxy A21s (Blue, 64 GB)","15,999"
"Samsung Galaxy A21s (Blue, 64 GB)","17,499"
"Samsung Galaxy A21s (Black, 64 GB)","15,999"
"Samsung Galaxy M21 (Midnight Blue, 64 GB)","15,999"
"Samsung Galaxy M21 (Raven Black, 64 GB)","15,999"
"Samsung Galaxy M01 (Black, 32 GB)","9,518"
"Samsung Galaxy A51 (Prism Crush White, 128 GB)","25,999"
"Samsung Galaxy M01 (Blue, 32 GB)","9,632"
"Samsung Galaxy M01 (Red, 32 GB)","9,985"
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)","29,500"
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","25,999"
"Samsung Galaxy M11 (Black, 32 GB)","11,865"
"Samsung Galaxy M11 (Metallic Blue, 32 GB)","11,899"
"Samsung Galaxy A31 (Prism Crush White, 128 GB)","20,999"
"Samsung Galaxy A31 (Prism Crush Blue, 128 GB)","20,999"
"Samsung Galaxy A31 (Prism Crush Black, 128 GB)","20,999"
